"REG";"Région";"DEP";"CODARR";"CODCAN";"CODCOM";"COM";"Commune";"PMUN";"PCAP";"PTOT";"Physiologique";"Sécurité";"Appartenance";"Estime";"Actualisation.de.soi";"Cognitif"
84;"Auvergne-Rhône-Alpes";"01";1;1;4;"01004";"Ambérieu-en-Bugey";14854;386;15240;162;134;16;150;115;140
84;"Auvergne-Rhône-Alpes";"01";4;3;33;"01033";"Valserhône";16295;316;16611;108;134;32;35;69;70
84;"Auvergne-Rhône-Alpes";"01";3;9;143;"01143";"Divonne-les-Bains";10137;216;10353;54;67;4;70;0;70
84;"Auvergne-Rhône-Alpes";"01";3;19;160;"01160";"Ferney-Voltaire";10920;173;11093;54;67;8;80;69;175
84;"Auvergne-Rhône-Alpes";"01";3;9;173;"01173";"Gex";13078;313;13391;108;134;4;10;0;35
84;"Auvergne-Rhône-Alpes";"01";2;13;249;"01249";"Miribel";10225;150;10375;162;134;16;15;46;0
84;"Auvergne-Rhône-Alpes";"01";3;19;354;"01354";"Saint-Genis-Pouilly";14558;206;14764;108;67;4;15;69;70
32;"Hauts-de-France";"02";1;2;168;"02168";"Château-Thierry";15204;309;15513;162;134;12;125;23;245
32;"Hauts-de-France";"02";2;3;173;"02173";"Chauny";11496;403;11899;108;67;4;100;23;105
32;"Hauts-de-France";"02";2;18;738;"02738";"Tergnier";13431;215;13646;54;134;28;10;46;35
32;"Hauts-de-France";"02";4;21;810;"02810";"Villers-Cotterêts";10454;415;10869;54;134;28;10;46;35
84;"Auvergne-Rhône-Alpes";"03";3;4;95;"03095";"Cusset";12909;462;13371;108;134;8;15;69;140
84;"Auvergne-Rhône-Alpes";"03";2;98;190;"03190";"Moulins";19343;526;19869;162;402;8;245;92;595
84;"Auvergne-Rhône-Alpes";"03";2;19;321;"03321";"Yzeure";12598;524;13122;216;67;16;25;92;35
93;"Provence-Alpes-Côte d'Azur";"04";3;98;70;"04070";"Digne-les-Bains";17192;932;18124;216;268;12;100;115;175
93;"Provence-Alpes-Côte d'Azur";"05";1;98;23;"05023";"Briançon";10561;314;10875;108;134;8;105;414;210
93;"Provence-Alpes-Côte d'Azur";"06";2;4;12;"06012";"Beausoleil";12674;122;12796;108;134;16;45;0;105
93;"Provence-Alpes-Côte d'Azur";"06";1;17;33;"06033";"Carros";13277;142;13419;108;0;16;25;0;35
93;"Provence-Alpes-Côte d'Azur";"06";1;12;84;"06084";"Mouans-Sartoux";10531;189;10720;162;201;4;75;92;35
93;"Provence-Alpes-Côte d'Azur";"06";1;9;85;"06085";"Mougins";19677;432;20109;540;402;8;95;92;70
93;"Provence-Alpes-Côte d'Azur";"06";2;14;104;"06104";"Roquebrune-Cap-Martin";12371;164;12535;108;67;24;30;46;105
93;"Provence-Alpes-Côte d'Azur";"06";2;21;149;"06149";"La Trinité";10276;68;10344;162;67;8;60;46;0
93;"Provence-Alpes-Côte d'Azur";"06";1;25;152;"06152";"Valbonne";12754;410;13164;432;67;4;85;69;140
93;"Provence-Alpes-Côte d'Azur";"06";1;26;157;"06157";"Vence";19415;263;19678;162;201;12;90;69;105
93;"Provence-Alpes-Côte d'Azur";"06";1;27;161;"06161";"Villeneuve-Loubet";16779;216;16995;270;67;8;115;276;70
84;"Auvergne-Rhône-Alpes";"07";3;98;10;"07010";"Annonay";16873;566;17439;162;335;16;115;23;280
84;"Auvergne-Rhône-Alpes";"07";1;99;19;"07019";"Aubenas";12360;780;13140;108;335;4;225;138;175
