"REG" "Région" "DEP" "CODARR" "CODCAN" "CODCOM" "COM" "Commune" "PMUN" "PCAP" "PTOT" "Physiologique" "Sécurité" "Appartenance" "Estime" "Actualisation.de.soi" "Cognitif" "latitude" "longitude"
"1" 84 "Auvergne-Rhône-Alpes" "01" 1 1 4 "01004" "Ambérieu-en-Bugey" 14854 386 15240 162 134 16 150 115 140 45.9584309 5.3595099
"2" 84 "Auvergne-Rhône-Alpes" "01" 4 3 33 "01033" "Valserhône" 16295 316 16611 108 134 32 35 69 70 46.1231141 5.7964682
"3" 84 "Auvergne-Rhône-Alpes" "01" 3 9 143 "01143" "Divonne-les-Bains" 10137 216 10353 54 67 4 70 0 70 46.3570916 6.143049
"4" 84 "Auvergne-Rhône-Alpes" "01" 3 19 160 "01160" "Ferney-Voltaire" 10920 173 11093 54 67 8 80 69 175 46.2567057 6.1096409
"5" 84 "Auvergne-Rhône-Alpes" "01" 3 9 173 "01173" "Gex" 13078 313 13391 108 134 4 10 0 35 46.333849 6.0577244
"6" 84 "Auvergne-Rhône-Alpes" "01" 2 13 249 "01249" "Miribel" 10225 150 10375 162 134 16 15 46 0 45.8235227 4.9528525
"7" 84 "Auvergne-Rhône-Alpes" "01" 3 19 354 "01354" "Saint-Genis-Pouilly" 14558 206 14764 108 67 4 15 69 70 46.243244 6.0207779
"8" 32 "Hauts-de-France" "02" 1 2 168 "02168" "Château-Thierry" 15204 309 15513 162 134 12 125 23 245 49.0457362 3.4027111
"9" 32 "Hauts-de-France" "02" 2 3 173 "02173" "Chauny" 11496 403 11899 108 67 4 100 23 105 49.6148945 3.2189506
"10" 32 "Hauts-de-France" "02" 2 18 738 "02738" "Tergnier" 13431 215 13646 54 134 28 10 46 35 49.6558465 3.2918511
"11" 32 "Hauts-de-France" "02" 4 21 810 "02810" "Villers-Cotterêts" 10454 415 10869 54 134 28 10 46 35 49.2549479 3.0909275
"12" 84 "Auvergne-Rhône-Alpes" "03" 3 4 95 "03095" "Cusset" 12909 462 13371 108 134 8 15 69 140 46.1324239 3.4602736
"13" 84 "Auvergne-Rhône-Alpes" "03" 2 98 190 "03190" "Moulins" 19343 526 19869 162 402 8 245 92 595 46.5660526 3.3331703
"14" 84 "Auvergne-Rhône-Alpes" "03" 2 19 321 "03321" "Yzeure" 12598 524 13122 216 67 16 25 92 35 46.5676568 3.3539775
"15" 93 "Provence-Alpes-Côte d'Azur" "04" 3 98 70 "04070" "Digne-les-Bains" 17192 932 18124 216 268 12 100 115 175 44.0918144 6.2351431
"16" 93 "Provence-Alpes-Côte d'Azur" "05" 1 98 23 "05023" "Briançon" 10561 314 10875 108 134 8 105 414 210 44.8984037 6.6436313
"17" 93 "Provence-Alpes-Côte d'Azur" "06" 2 4 12 "06012" "Beausoleil" 12674 122 12796 108 134 16 45 0 105 43.748281 7.4219677
"18" 93 "Provence-Alpes-Côte d'Azur" "06" 1 17 33 "06033" "Carros" 13277 142 13419 108 0 16 25 0 35 43.7846 7.18785
"19" 93 "Provence-Alpes-Côte d'Azur" "06" 1 12 84 "06084" "Mouans-Sartoux" 10531 189 10720 162 201 4 75 92 35 43.6203852 6.9703991
"20" 93 "Provence-Alpes-Côte d'Azur" "06" 1 9 85 "06085" "Mougins" 19677 432 20109 540 402 8 95 92 70 43.6008898 6.9963543
"21" 93 "Provence-Alpes-Côte d'Azur" "06" 2 14 104 "06104" "Roquebrune-Cap-Martin" 12371 164 12535 108 67 24 30 46 105 43.7641047 7.4565697
"22" 93 "Provence-Alpes-Côte d'Azur" "06" 2 21 149 "06149" "La Trinité" 10276 68 10344 162 67 8 60 46 0 48.9893963 1.2335758
"23" 93 "Provence-Alpes-Côte d'Azur" "06" 1 25 152 "06152" "Valbonne" 12754 410 13164 432 67 4 85 69 140 43.641141 7.0086255
"24" 93 "Provence-Alpes-Côte d'Azur" "06" 1 26 157 "06157" "Vence" 19415 263 19678 162 201 12 90 69 105 43.7224167 7.1116845
"25" 93 "Provence-Alpes-Côte d'Azur" "06" 1 27 161 "06161" "Villeneuve-Loubet" 16779 216 16995 270 67 8 115 276 70 43.6579947 7.1217592
"26" 84 "Auvergne-Rhône-Alpes" "07" 3 98 10 "07010" "Annonay" 16873 566 17439 162 335 16 115 23 280 45.2399639 4.6675475
"27" 84 "Auvergne-Rhône-Alpes" "07" 1 99 19 "07019" "Aubenas" 12360 780 13140 108 335 4 225 138 175 44.6205476 4.3902399
"28" 84 "Auvergne-Rhône-Alpes" "07" 3 7 102 "07102" "Guilherand-Granges" 11203 186 11389 108 134 8 45 23 105 44.932545 4.8708275
"29" 84 "Auvergne-Rhône-Alpes" "07" 3 14 324 "07324" "Tournon-sur-Rhône" 11191 578 11769 108 268 4 50 115 175 45.0675156 4.832852
"30" 44 "Grand Est" "08" 3 99 409 "08409" "Sedan" 16608 333 16941 108 201 8 80 92 140 49.7033759 4.9433409
"31" 76 "Occitanie" "09" 2 99 225 "09225" "Pamiers" 16394 513 16907 270 134 8 150 161 105 43.1147515 1.6082177
"32" 44 "Grand Est" "10" 3 14 81 "10081" "La Chapelle-Saint-Luc" 12299 75 12374 162 67 4 65 0 70 48.3185478 4.0413095
"33" 44 "Grand Est" "10" 2 9 323 "10323" "Romilly-sur-Seine" 14766 315 15081 54 268 4 80 69 70 48.5197475 3.7263678
"34" 44 "Grand Est" "10" 3 10 333 "10333" "Saint-André-les-Vergers" 12775 177 12952 54 67 0 5 0 70 48.2784599 4.0507314
