CODGEO;Physiologique;Sécurité;Appartenance;Estime;Actualisation de soi;Cognitif
1001;0;0;4;0;0;0
1002;0;0;0;0;0;0
1004;162;134;16;150;115;140
1005;0;0;12;0;0;0
1006;0;0;0;0;0;0
1007;0;0;8;0;0;0
1008;0;0;4;0;0;0
1009;0;0;0;0;0;0
1010;0;0;4;0;0;0
1011;0;0;0;0;0;0
1012;0;0;0;0;0;0
1013;0;0;4;0;0;0
1014;54;67;8;45;0;0
1015;0;0;4;0;0;0
1016;0;0;0;0;0;0
1017;0;0;8;0;0;0
1019;0;0;0;0;0;0
1021;0;0;4;0;0;0
1022;0;0;4;0;0;35
1023;0;0;0;0;0;0
1024;0;0;4;0;0;0
1025;54;67;4;0;0;0
1026;0;67;8;0;23;0
1027;54;0;4;0;0;0
1028;0;0;4;0;0;0
1029;0;0;4;0;0;0
1030;0;0;8;0;0;0
1031;54;67;8;5;23;0
1032;54;67;4;5;0;0
1033;108;134;32;35;69;70
1034;108;201;8;65;46;70
1035;0;0;0;0;0;0
1036;0;0;8;0;0;0
1037;0;0;0;0;0;0
1038;54;0;8;0;0;0
1039;0;0;0;0;0;0
1040;0;0;8;0;0;0
1041;0;0;4;0;0;0
1042;0;0;4;0;0;0
1043;108;67;4;115;69;35
1044;0;0;0;0;0;0
1045;0;0;4;0;0;0
1046;0;0;4;0;0;0
1047;0;0;0;0;0;0
1049;54;0;4;0;0;0
1050;0;0;0;0;0;0
1051;0;0;0;0;0;0
1052;0;0;0;0;0;0
1053;648;469;20;460;253;350
1054;0;0;0;0;0;0
1056;0;0;4;0;0;0
1057;0;0;4;0;0;0
1058;54;0;12;0;0;0
1060;0;67;8;0;0;0
1061;0;0;4;0;0;0
1062;0;0;4;0;0;0
1063;0;0;4;0;0;0
1064;54;0;0;0;0;0
1065;0;0;4;0;0;0
1066;0;0;0;0;0;0
1067;0;0;4;0;0;0
1068;0;67;4;0;0;0
1069;0;0;4;0;0;0
1071;54;0;4;0;0;70
1072;54;67;4;0;0;0
1073;0;0;4;0;0;0
1074;54;67;4;5;0;35
1075;0;0;0;0;0;0
1076;0;0;4;0;0;0
1077;0;0;4;0;0;0
1078;0;67;4;0;0;0
1079;0;67;4;5;0;0
1080;0;0;4;0;0;0
1081;0;67;4;0;0;0
1082;0;0;4;0;0;0
1083;0;0;4;5;0;0
1084;0;0;4;0;0;0
1085;0;0;0;0;0;0
1087;0;0;0;0;0;0
1088;0;0;0;0;0;0
1089;0;0;4;0;92;35
1090;0;0;4;0;0;0
1092;0;0;0;0;23;0
1093;108;67;8;25;23;35
1094;0;0;0;0;0;0
1095;0;0;8;0;0;0
1096;54;0;4;0;0;0
1098;0;0;4;0;0;0
1099;0;0;8;0;0;0
1100;0;0;4;0;0;0
1101;0;0;0;0;0;0
1102;0;0;4;0;0;0
1103;0;0;0;0;0;0
1104;0;0;4;0;0;0
1105;0;0;0;0;0;35
1106;0;0;0;0;0;0
1107;0;0;0;0;0;0
1108;0;67;4;0;0;0
1109;54;0;8;0;0;35
1110;0;0;4;0;0;0
1111;0;0;4;0;0;0
1112;0;0;0;0;0;0
1113;0;0;4;0;0;0
1114;0;67;0;0;0;0
1115;54;0;0;0;0;0
1116;0;0;4;0;0;0
1117;0;0;4;0;0;0
1118;0;67;0;0;0;0
1121;0;0;0;0;0;0
1123;0;0;8;0;0;0
1124;0;0;4;0;0;0
1125;0;0;0;0;0;0
1127;0;0;4;0;0;0
1128;0;0;0;0;0;0
1129;0;0;8;0;0;0
1130;0;0;8;0;0;0
1133;0;0;4;0;0;0
1134;0;0;0;0;0;0
1135;0;0;4;5;23;0
1136;0;0;0;0;0;0
1138;54;0;8;5;0;0
1139;0;0;4;0;0;0
1140;0;67;8;0;0;0
1141;0;0;4;0;0;0
1142;108;0;4;5;0;35
1143;54;67;4;70;0;70
1145;0;0;4;0;0;0
1146;0;0;0;0;0;0
1147;54;0;4;0;0;0
1148;0;0;4;0;0;0
1149;0;0;4;5;0;0
1150;0;0;0;0;0;0
1151;0;0;8;0;0;0
1152;0;0;4;0;0;0
1153;0;0;4;0;0;0
1155;0;0;4;0;0;0
1156;0;0;8;0;0;0
1157;54;0;8;5;0;0
1158;0;0;4;5;0;0
1159;0;0;4;10;23;35
1160;54;67;8;80;69;175
1162;0;0;0;0;0;0
1163;0;0;4;0;0;0
1165;0;0;16;0;0;0
1166;0;0;4;5;0;0
1167;0;0;0;0;0;0
1169;0;0;0;0;0;0
1170;0;0;4;0;0;0
1171;0;0;4;0;0;0
1173;108;134;4;10;0;35
1174;0;0;0;0;0;0
1175;0;0;4;0;0;0
1177;0;0;0;0;0;0
1179;54;67;4;0;0;0
1180;0;0;4;0;0;0
1181;0;67;4;5;23;0
1183;0;0;4;5;0;0
1184;0;0;12;0;0;0
1185;108;335;16;5;23;70
1187;0;0;16;0;0;0
