"REG","Région","DEP","CODARR","CODCAN","CODCOM","COM","Commune","PMUN","PCAP","PTOT"
84,"Auvergne-Rhône-Alpes","01",1,1,4,"01004","Ambérieu-en-Bugey",14854,386,15240
84,"Auvergne-Rhône-Alpes","01",4,3,33,"01033","Valserhône",16295,316,16611
84,"Auvergne-Rhône-Alpes","01",3,9,143,"01143","Divonne-les-Bains",10137,216,10353
84,"Auvergne-Rhône-Alpes","01",3,19,160,"01160","Ferney-Voltaire",10920,173,11093
84,"Auvergne-Rhône-Alpes","01",3,9,173,"01173","Gex",13078,313,13391
84,"Auvergne-Rhône-Alpes","01",2,13,249,"01249","Miribel",10225,150,10375
84,"Auvergne-Rhône-Alpes","01",3,19,354,"01354","Saint-Genis-Pouilly",14558,206,14764
32,"Hauts-de-France","02",1,2,168,"02168","Château-Thierry",15204,309,15513
32,"Hauts-de-France","02",2,3,173,"02173","Chauny",11496,403,11899
32,"Hauts-de-France","02",2,18,738,"02738","Tergnier",13431,215,13646
32,"Hauts-de-France","02",4,21,810,"02810","Villers-Cotterêts",10454,415,10869
84,"Auvergne-Rhône-Alpes","03",3,4,95,"03095","Cusset",12909,462,13371
84,"Auvergne-Rhône-Alpes","03",2,98,190,"03190","Moulins",19343,526,19869
84,"Auvergne-Rhône-Alpes","03",2,19,321,"03321","Yzeure",12598,524,13122
93,"Provence-Alpes-Côte d'Azur","04",3,98,70,"04070","Digne-les-Bains",17192,932,18124
93,"Provence-Alpes-Côte d'Azur","05",1,98,23,"05023","Briançon",10561,314,10875
93,"Provence-Alpes-Côte d'Azur","06",2,4,12,"06012","Beausoleil",12674,122,12796
93,"Provence-Alpes-Côte d'Azur","06",1,3,18,"06018","Biot",9880,309,10189
93,"Provence-Alpes-Côte d'Azur","06",1,17,33,"06033","Carros",13277,142,13419
93,"Provence-Alpes-Côte d'Azur","06",1,12,84,"06084","Mouans-Sartoux",10531,189,10720
93,"Provence-Alpes-Côte d'Azur","06",2,14,104,"06104","Roquebrune-Cap-Martin",12371,164,12535
93,"Provence-Alpes-Côte d'Azur","06",2,21,149,"06149","La Trinité",10276,68,10344
93,"Provence-Alpes-Côte d'Azur","06",1,25,152,"06152","Valbonne",12754,410,13164
93,"Provence-Alpes-Côte d'Azur","06",1,26,157,"06157","Vence",19415,263,19678
93,"Provence-Alpes-Côte d'Azur","06",1,27,161,"06161","Villeneuve-Loubet",16779,216,16995
84,"Auvergne-Rhône-Alpes","07",3,98,10,"07010","Annonay",16873,566,17439
84,"Auvergne-Rhône-Alpes","07",1,99,19,"07019","Aubenas",12360,780,13140
84,"Auvergne-Rhône-Alpes","07",3,7,102,"07102","Guilherand-Granges",11203,186,11389
84,"Auvergne-Rhône-Alpes","07",3,14,324,"07324","Tournon-sur-Rhône",11191,578,11769
44,"Grand Est","08",3,99,409,"08409","Sedan",16608,333,16941
76,"Occitanie","09",2,99,225,"09225","Pamiers",16394,513,16907
44,"Grand Est","10",3,14,81,"10081","La Chapelle-Saint-Luc",12299,75,12374
44,"Grand Est","10",2,9,323,"10323","Romilly-sur-Seine",14766,315,15081
44,"Grand Est","10",3,10,333,"10333","Saint-André-les-Vergers",12775,177,12952
44,"Grand Est","10",3,13,362,"10362","Sainte-Savine",10515,340,10855
76,"Occitanie","11",1,5,76,"11076","Castelnaudary",12448,526,12974
76,"Occitanie","11",3,8,203,"11203","Lézignan-Corbières",10952,215,11167
76,"Occitanie","11",2,9,206,"11206","Limoux",10302,448,10750
76,"Occitanie","12",2,18,176,"12176","Onet-le-Château",11873,595,12468
76,"Occitanie","12",3,22,300,"12300","Villefranche-de-Rouergue",11720,487,12207
93,"Provence-Alpes-Côte d'Azur","13",3,3,7,"13007","Auriol",12839,151,12990
93,"Provence-Alpes-Côte d'Azur","13",4,6,14,"13014","Berre-l'Étang",13912,71,13983
93,"Provence-Alpes-Côte d'Azur","13",1,29,15,"13015","Bouc-Bel-Air",15248,253,15501
93,"Provence-Alpes-Côte d'Azur","13",1,29,19,"13019","Cabriès",10070,329,10399
93,"Provence-Alpes-Côte d'Azur","13",4,11,26,"13026","Châteauneuf-les-Martigues",17909,77,17986
93,"Provence-Alpes-Côte d'Azur","13",2,7,27,"13027","Châteaurenard",16669,256,16925
93,"Provence-Alpes-Côte d'Azur","13",4,10,39,"13039","Fos-sur-Mer",15469,189,15658
93,"Provence-Alpes-Côte d'Azur","13",1,28,40,"13040","Fuveau",10115,200,10315
93,"Provence-Alpes-Côte d'Azur","13",4,11,43,"13043","Gignac-la-Nerthe",10083,96,10179
93,"Provence-Alpes-Côte d'Azur","13",1,25,50,"13050","Lambesc",9991,254,10245
